ref_id,source_group,criterion_type,section_order,item_order,official_item_text,mapped_area_primary,mapped_area_secondary,urgent_check_reference,use_for_question_generation,question_focus,suggested_question_angle,teacher_caution,notes
OFF_PERSIST_01,official_counseling_checklist,지속성,1,1,기초학력 부족으로 수업 참여나 과제 수행이 지속적으로 어려운 상황인가?,학업,,N,Y,"기초학력, 수업 참여, 과제 수행 어려움의 지속성",수업이나 과제를 수행할 때 지속적으로 어려운 부분과 필요한 도움을 확인한다.,학업 역량 부족을 단정하지 말고 학생이 느끼는 어려움과 지원 요구를 개방형으로 확인한다.,
OFF_PERSIST_02,official_counseling_checklist,지속성,1,2,장기간의 우울·불안 등 정서적 어려움이 지속적으로 관찰되는가?,심리정서,,N,Y,"우울감, 불안감 등 정서적 어려움의 지속성",최근 마음이 힘든 상태가 얼마나 지속되었는지와 학교생활에 어떤 영향을 주는지 확인한다.,우울증·불안장애 등 진단명으로 묻지 말고 감정과 생활 변화를 부드럽게 확인한다.,
OFF_PERSIST_03,official_counseling_checklist,지속성,1,3,수업 결손(지각·결석 포함)이 반복적으로 나타나는가?,학업,복지경제|심리정서,N,Y,"지각, 결석, 수업 결손의 반복 여부","등교나 수업 참여가 어려운 날의 상황, 생활 리듬, 가정·정서 요인을 함께 확인한다.",무단 결석을 비난하지 말고 반복되는 이유와 도움받을 수 있는 조건을 확인한다.,"출결 문제는 학업뿐 아니라 돌봄 공백, 정서 어려움과 연결될 수 있음."
OFF_PERSIST_04,official_counseling_checklist,지속성,1,4,학교폭력 가·피해 경험이 반복되거나 해결되지 않고 누적되는가?,심리정서,긴급확인,Y,Y,"학교폭력 경험의 반복, 미해결, 누적 여부",학교생활에서 안전하지 않거나 반복적으로 불편했던 상황이 있는지 확인한다.,가해·피해를 단정하지 말고 학생의 안전과 학교 절차에 따른 확인이 필요한지 우선 살핀다.,긴급확인 참고 항목. 실제 판단은 학교 절차와 교사 확인 필요.
OFF_PERSIST_05,official_counseling_checklist,지속성,1,5,경제적 어려움으로 인해 학습활동(교재·준비물·수업 참여 등)에 제약이 있는가?,복지경제,학업,N,Y,"경제적 어려움이 교재, 준비물, 수업 참여에 미치는 영향","학습 준비물, 교재, 활동 참여에서 부담되거나 어려운 점이 있는지 확인한다.",경제 사정을 직접 추궁하지 말고 학교생활에 필요한 지원이 부족한지 중심으로 묻는다.,
OFF_PERSIST_06,official_counseling_checklist,지속성,1,6,"가정 내 아동학대 의심, 방임 등 위기요인이 지속 관찰되는가?",복지경제,긴급확인,Y,Y,"가정 내 돌봄, 보호, 방임 가능성 관련 우선 확인",집에서 생활하거나 등교를 준비하는 데 필요한 도움을 받을 수 있는지 부드럽게 확인한다.,학대·방임을 단정하는 표현을 쓰지 말고 안전과 보호 가능성을 학교 절차에 따라 확인한다.,긴급확인 참고 항목. 상담 중 직접 신호가 확인되면 학교 절차에 따른 우선 확인 필요.
OFF_PERSIST_07,official_counseling_checklist,지속성,1,7,"건강이나 발달상의 특별한 어려움(경계선 지능, 의학적 진단, 특수교육 지원 등)이 있는가?",공통,학업|복지경제|긴급확인,N,Y,"건강, 발달, 특수교육 지원 관련 어려움",학교생활과 학습 참여에 영향을 주는 건강·발달상의 어려움이나 필요한 배려를 확인한다.,의학적 진단이나 장애 여부를 단정하지 말고 필요한 지원과 학교생활 어려움 중심으로 확인한다.,건강·안전 영역은 서비스 분류상 별도 점수 영역이 아니라 공통 또는 긴급확인 참고로 사용.
OFF_COMPLEX_01,official_counseling_checklist,복합성,2,1,복수 교과 또는 복수 영역(학습·복지·건강·진로·상담)에서 어려움이 확인되는가?,공통,학업|복지경제|진로|심리정서,N,Y,여러 교과 또는 여러 지원 영역에서 어려움이 동시에 나타나는지,"어려움이 한 과목이나 한 상황에 국한되는지, 여러 영역으로 이어지는지 확인한다.",여러 어려움을 나열하듯 추궁하지 말고 학생이 체감하는 가장 큰 어려움부터 확인한다.,
OFF_COMPLEX_02,official_counseling_checklist,복합성,2,2,학업 부진과 함께 정서·행동상의 어려움이 동시에 나타나는가?,학업,심리정서,N,Y,학업 어려움과 정서·행동 어려움의 동시 발생,"학습 참여가 어려운 이유가 학업 내용, 감정 상태, 행동 조절 어려움과 어떻게 연결되는지 확인한다.",학업 부진을 노력 부족으로 단정하지 말고 정서적 부담과 행동 조절 어려움을 함께 살핀다.,
OFF_COMPLEX_03,official_counseling_checklist,복합성,2,3,"학업 부진과 가정환경(양육·돌봄 부재, 빈곤 등) 요인과 함께 존재하는가?",학업,복지경제,N,Y,학업 어려움과 가정환경·돌봄·경제 요인의 연결,"학습 준비, 등교, 생활 리듬을 도와주는 환경이 충분한지 확인한다.",가정환경을 단정하거나 보호자를 비난하지 말고 학생의 학교생활 지원 조건 중심으로 확인한다.,
