item_id,item_order,domain_order,domain,domain_label,item_code,item_text,score_min,score_max,score_scale,is_urgent_flag,urgent_trigger_rule,urgent_flag_reason,context_school_score_column,context_region_score_column,deep_rule_id,active,memo
LRN_A,1,1,학업,학습지원 영역,학습-A,수업 시간 중 자주 엎드려 자거나 학습 의지가 거의 보이지 않는다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_academic_score,region_academic_score,RULE_LRN_A,Y,1차 선별 문항
LRN_B,2,1,학업,학습지원 영역,학습-B,교사의 말에 유독 무반응이거나 방어적인 태도를 보인다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_academic_score,region_academic_score,RULE_LRN_B_EMO_B,Y,1차 선별 문항
LRN_C,3,1,학업,학습지원 영역,학습-C,무단 지각이나 결석이 잦고 등교 시간이 점차 늦어진다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_academic_score,region_academic_score,RULE_LRN_C_ENV_B,Y,1차 선별 문항
EMO_A,4,2,심리정서,정서 및 상담지원 영역,정서-A,"“어차피 해도 안 돼요”, “귀찮아요”와 같은 자기비하적 표현을 자주 쓴다.",0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_emotion_score,region_emotion_score,RULE_EMO_A,Y,1차 선별 문항
EMO_B,5,2,심리정서,정서 및 상담지원 영역,정서-B,상담을 하거나 대화할 때 교사와 눈을 잘 맞추지 못하고 시선이 매우 불안정하다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_emotion_score,region_emotion_score,RULE_LRN_B_EMO_B,Y,1차 선별 문항
EMO_C,6,2,심리정서,정서 및 상담지원 영역,정서-C,쉬는 시간이나 점심시간에 친구들과 전혀 어울리지 않고 늘 혼자 있거나 고립되어 있다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,Y,score >= 1,또래관계 단절·고립 신호로 심리정서 긴급 확인 필요,school_emotion_score,region_emotion_score,RULE_EMO_C,Y,긴급 플래그 문항
ENV_A,7,3,복지경제,복지 및 환경지원 영역,환경-A,계절에 맞지 않는 옷을 장기간 입거나 복장이 청결하지 못하고 체취가 지속된다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,Y,score >= 1,위생·의복·돌봄 공백 가능성으로 복지경제 긴급 확인 필요,school_welfare_score,region_welfare_score,RULE_ENV_A_CAR_B,Y,긴급 플래그 문항
ENV_B,8,3,복지경제,복지 및 환경지원 영역,환경-B,가정통신문 회수가 안 되거나 전화 상담 시 보호자와 연락이 유독 닿지 않는다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_welfare_score,region_welfare_score,RULE_LRN_C_ENV_B,Y,1차 선별 문항
CAR_A,9,4,진로,진로지원 영역,진로-A,자신의 장점 혹은 강점을 적는 칸을 아예 공란으로 비워두거나 모른다고 한다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_career_score,region_career_score,RULE_CAR_A,Y,1차 선별 문항
CAR_B,10,4,진로,진로지원 영역,진로-B,미래나 꿈에 대한 질문에 대해 당장의 경제적 어려움이나 현실적인 결핍 불만만 이야기한다.,0,2,0=관찰되지 않음; 1=약하게/가끔 관찰됨; 2=뚜렷하게/자주 관찰됨,N,,,school_career_score,region_career_score,RULE_ENV_A_CAR_B,Y,1차 선별 문항
